id,category,ai_slop_pattern,severity,description
847,shadows,Generic shadow-lg on all elevated elements,medium,Same shadow everywhere
848,shadows,Missing shadow hierarchy,medium,All shadows are the same depth
849,shadows,Missing shadow color,medium,Shadows are always black
850,shadows,Missing shadow animation,medium,Shadows don't animate
851,shadows,Missing shadow on hover,medium,Shadows don't change on hover
852,shadows,Missing shadow on focus,medium,Shadows don't change on focus
853,shadows,Missing shadow on active,medium,Shadows don't change on press
854,shadows,Missing shadow accessibility,medium,Shadows don't meet contrast requirements
855,shadows,Missing shadow performance,medium,Shadows cause performance issues
856,shadows,Missing shadow dark mode,medium,Shadows don't adapt to dark mode
857,shadows,Missing shadow tokens,medium,Shadows not tokenized
858,shadows,Missing shadow variety,medium,Same shadow used everywhere
859,shadows,Missing shadow context,medium,Shadows don't adapt to context
860,shadows,Missing shadow brand alignment,medium,Shadows don't match brand
861,shadows,Missing shadow direction,medium,Shadows all go in the same direction
862,shadows,Missing shadow spread,medium,Shadows all have the same spread
863,shadows,Missing shadow blur,medium,Shadows all have the same blur
864,shadows,Missing shadow offset,medium,Shadows all have the same offset
865,shadows,Missing shadow inset,medium,Inset shadows never used
866,shadows,Missing shadow layering,medium,Can't layer multiple shadows
867,borders,Generic border on all elements,medium,Borders used uniformly
868,borders,Missing border radius hierarchy,medium,All corners equally rounded
869,borders,Missing border color variation,medium,All borders same color
870,borders,Missing border width variation,medium,All borders same width
871,borders,Missing border style variation,medium,All borders solid
872,borders,Missing border animation,medium,Borders don't animate
873,borders,Missing border gradient,medium,Gradient borders not used
874,borders,Missing border focus state,medium,Borders don't change on focus
875,borders,Missing border hover state,medium,Borders don't change on hover
876,borders,Missing border active state,medium,Borders don't change on press
877,borders,Missing border disabled state,medium,Borders don't change when disabled
878,borders,Missing border error state,medium,Borders don't show errors
879,borders,Missing border success state,medium,Borders don't show success
880,borders,Missing border warning state,medium,Borders don't show warnings
881,borders,Missing border tokens,medium,Borders not tokenized
882,borders,Missing border accessibility,medium,Borders don't meet contrast requirements
883,borders,Missing border dark mode,medium,Borders don't adapt to dark mode
884,borders,Missing border performance,medium,Borders cause performance issues
885,borders,Missing border context,medium,Borders don't adapt to context
886,borders,Missing border brand alignment,medium,Borders don't match brand
887,borders,Missing border variety,medium,Same border used everywhere
888,borders,Missing border decorative use,medium,Borders not used decoratively
889,borders,Missing border functional use,medium,Borders not used functionally
890,borders,Missing border responsive behavior,medium,Borders don't adapt to viewport
891,backgrounds,Generic solid color backgrounds,medium,Backgrounds are flat colors
892,backgrounds,Missing background patterns,medium,No background patterns
893,backgrounds,Missing background textures,medium,No background textures
894,backgrounds,Missing background images,medium,No background images
895,backgrounds,Missing background gradients,medium,No background gradients
896,backgrounds,Missing background animation,medium,Backgrounds don't animate
897,backgrounds,Missing background parallax,medium,No parallax backgrounds
898,backgrounds,Missing background video,medium,No background video
899,backgrounds,Missing background particles,medium,No particle backgrounds
900,backgrounds,Missing background noise,medium,No noise or grain
901,backgrounds,Missing background dots,medium,No dot grid backgrounds
902,backgrounds,Missing background lines,medium,No line backgrounds
903,backgrounds,Missing background shapes,medium,No shape backgrounds
904,backgrounds,Missing background blobs,medium,No blob backgrounds
905,backgrounds,Missing background mesh,medium,No mesh backgrounds
906,backgrounds,Missing background aurora,medium,No aurora backgrounds
907,backgrounds,Missing background accessibility,medium,Backgrounds don't meet contrast
908,backgrounds,Missing background performance,medium,Backgrounds cause performance issues
909,backgrounds,Missing background dark mode,medium,Backgrounds don't adapt to dark mode
910,backgrounds,Missing background tokens,medium,Backgrounds not tokenized
911,backgrounds,Missing background context,medium,Backgrounds don't adapt to context
912,backgrounds,Missing background brand alignment,medium,Backgrounds don't match brand
913,backgrounds,Missing background variety,medium,Same background used everywhere
914,backgrounds,Missing background seasonal variation,medium,Backgrounds don't change with seasons
915,backgrounds,Missing background temporal variation,medium,Backgrounds don't change with time
916,backgrounds,Missing background personalization,medium,Same background for all users
917,backgrounds,Missing background A/B testing,medium,Backgrounds not tested
918,dividers,Generic horizontal rule dividers,medium,Simple hr elements as dividers
919,dividers,Missing decorative dividers,medium,No decorative dividers
920,dividers,Missing gradient dividers,medium,No gradient dividers
921,dividers,Missing animated dividers,medium,Dividers don't animate
922,dividers,Missing contextual dividers,medium,Dividers don't adapt to context
923,dividers,Missing vertical dividers,medium,No vertical dividers
924,dividers,Missing diagonal dividers,medium,No diagonal dividers
925,dividers,Missing curved dividers,medium,No curved dividers
926,dividers,Missing dotted dividers,medium,No dotted dividers
927,dividers,Missing dashed dividers,medium,No dashed dividers
928,dividers,Missing double-line dividers,medium,No double-line dividers
929,dividers,Missing ornamental dividers,medium,No ornamental dividers
930,dividers,Missing icon dividers,medium,No icon-based dividers
931,dividers,Missing text dividers,medium,No text-based dividers
932,dividers,Missing spacing dividers,medium,No spacing-only dividers
933,dividers,Missing color dividers,medium,No color-based dividers
934,dividers,Missing width dividers,medium,No width-varying dividers
935,dividers,Missing accessibility dividers,medium,Dividers not accessible
936,dividers,Missing responsive dividers,medium,Dividers don't adapt to viewport
937,dividers,Missing dark mode dividers,medium,Dividers don't adapt to dark mode
938,dividers,Missing tokenized dividers,medium,Dividers not tokenized
939,dividers,Missing brand-aligned dividers,medium,Dividers don't match brand
940,dividers,Missing contextual dividers,medium,Dividers don't adapt to content
941,scroll,Missing scroll snap,medium,No scroll snap points
942,scroll,Missing scroll progress indicator,medium,No scroll progress bar
943,scroll,Missing scroll-triggered animations,medium,No animations triggered by scroll
944,scroll,Missing scroll hijacking,medium,No creative scroll hijacking
945,scroll,Missing scroll parallax,medium,No parallax on scroll
946,scroll,Missing scroll pinning,medium,No scroll-pinned sections
947,scroll,Missing scroll momentum,medium,No scroll momentum effects
948,scroll,Missing scroll velocity,medium,No velocity-reactive scroll
949,scroll,Missing scroll direction,medium,No direction-aware scroll
950,scroll,Missing scroll threshold,medium,No scroll threshold effects
951,scroll,Missing scroll debounce,medium,No scroll debouncing
952,scroll,Missing scroll performance,medium,Scroll effects cause jank
953,scroll,Missing scroll accessibility,medium,Scroll effects not accessible
954,scroll,Missing scroll reduced motion,medium,Scroll effects ignore reduced motion
955,scroll,Missing scroll mobile optimization,medium,Scroll effects not optimized for mobile
956,scroll,Missing scroll fallback,medium,No fallback for scroll effects
957,scroll,Missing scroll customization,medium,Scroll effects can't be customized
958,scroll,Missing scroll tokens,medium,Scroll effects not tokenized
959,scroll,Missing scroll context,medium,Scroll effects don't adapt to context
960,scroll,Missing scroll brand alignment,medium,Scroll effects don't match brand
961,scroll,Missing scroll variety,medium,Same scroll effect used everywhere
962,microcopy,Generic button labels,medium,Submit Click Here Learn More
963,microcopy,Missing form field hints,medium,No helper text on form fields
964,microcopy,Missing error message guidance,medium,Error messages don't guide users
965,microcopy,Missing success message confirmation,medium,Success messages are generic
966,microcopy,Missing empty state guidance,medium,Empty states don't guide users
967,microcopy,Missing loading state messaging,medium,Loading states lack context
968,microcopy,Missing tooltip explanations,medium,Tooltips don't explain features
969,microcopy,Missing placeholder text guidance,medium,Placeholders don't guide input
970,microcopy,Missing confirmation dialog text,medium,Confirmation dialogs are generic
971,microcopy,Missing breadcrumb context,medium,Breadcrumbs lack context
972,microcopy,Missing pagination text,medium,Pagination lacks descriptive text
973,microcopy,Missing search placeholder,medium,Search lacks helpful placeholder
974,microcopy,Missing file upload text,medium,File upload lacks guidance
975,microcopy,Missing drag and drop text,medium,Drag and drop lacks instructions
976,microcopy,Missing keyboard shortcut hints,medium,Keyboard shortcuts not hinted
977,microcopy,Missing accessibility labels,medium,Missing accessible labels
978,microcopy,Missing screen reader text,medium,Missing screen reader only text
979,microcopy,Missing character limit text,medium,Character limits not communicated
980,microcopy,Missing word count text,medium,Word count not shown
981,microcopy,Missing time estimate text,medium,Time estimates not shown
982,microcopy,Missing progress text,medium,Progress not communicated in text
983,microcopy,Missing status text,medium,Status not communicated
984,microcopy,Missing version text,medium,Version not shown
985,microcopy,Missing build number text,medium,Build number not shown
986,microcopy,Missing last updated text,medium,Last updated not shown
987,microcopy,Missing data source text,medium,Data source not attributed
988,microcopy,Missing cache status text,medium,Cache status not shown
989,microcopy,Missing sync status text,medium,Sync status not shown
990,microcopy,Missing offline status text,medium,Offline status not shown
991,ai-slop-specific,Sparkle emoji as the universal AI feature indicator,critical,The ✨ sparkle icon has become the defining mark of AI slop
992,ai-slop-specific,Everything is AI-powered regardless of appropriateness,critical,Every feature is labeled AI-powered even when unnecessary
993,ai-slop-specific,Chat interface as the solution to everything,critical,Every product defaults to a chat-based UI
994,ai-slop-specific,Dark mode with purple accents as the AI aesthetic,critical,The signature AI look — dark background with purple accents
995,ai-slop-specific,Gradient mesh backgrounds behind every hero,critical,Mesh gradients as the default AI background
996,ai-slop-specific,3D floating abstract shapes as illustrations,critical,Abstract 3D shapes floating in empty space
997,ai-slop-specific,Glassmorphism panels on dark backgrounds,critical,Frosted glass panels as the AI UI standard
998,ai-slop-specific,Streaming text output with blinking cursor,critical,AI text always streams with a typewriter effect
999,ai-slop-specific,Confidence percentages on AI outputs,medium,Arbitrary confidence scores like 94.7 percent
1000,ai-slop-specific,Bento grid layout as the default feature showcase,critical,The bento grid has become the AI default for feature sections
1001,shadcn/ui,Default shadcn card with rounded-xl border bg-card,critical,The 2026 replacement for rounded-lg shadow-md — every card looks identical
1002,shadcn/ui,Radix dialog with data-state-open overlay as universal modal,critical,Every modal uses the same Radix dialog pattern with identical backdrop
1003,shadcn/ui,cn utility with clsx and tailwind-merge on every component,high,Boilerplate className merging on every single component without exception
1004,shadcn/ui,Command palette cmdk for simple navigation,high,Using full command palette for basic navigation when simple nav would suffice
1005,shadcn/ui,Sonner toast as the only notification pattern,high,Every notification uses Sonner's default toast styling and positioning
1006,shadcn/ui,Vaul drawer sliding from right for every mobile overlay,medium,Default sheet/drawer pattern used for all mobile overlays and panels
1007,shadcn/ui,Default shadcn form with zod and react-hook-form boilerplate,high,Identical form setup pattern with zod schema validation on every form
1008,shadcn/ui,Skeleton component with animate-pulse on every loading state,high,Generic skeleton screens with pulsing animation for all loading states
1009,shadcn/ui,Default shadcn data table with no column customization,medium,Static table using shadcn defaults with no sorting filtering or resizing
1010,shadcn/ui,Avatar fallback with generic initials only,medium,Missing avatar images show only initials with no color or photo fallback
1011,shadcn/ui,Sheet component sliding from right every time,medium,All side panels use the same right-sliding sheet without variation
1012,shadcn/ui,Popover for every contextual menu interaction,medium,Using popover primitive for all menus tooltips and contextual overlays
1013,shadcn/ui,Default accordion with chevron-down rotation animation,medium,Every expandable section uses the same chevron rotation pattern
1014,shadcn/ui,Badge with variant default everywhere,medium,All badges use the same default variant with no size or style variation
1015,shadcn/ui,Separator component between every section,medium,Horizontal separators used mechanically between all content blocks
1016,bento-grid,Uniform cell sizes with no content-driven variation,high,All bento cells are the same size regardless of content importance
1017,bento-grid,Forced 3x2 or 4x2 grid regardless of content count,high,Rigid grid dimensions that don't adapt to actual content needs
1018,bento-grid,Identical border radii across all bento cells,high,Every cell has the same rounded corner value with no hierarchy
1019,bento-grid,No visual hierarchy between primary and secondary cells,critical,All cells look equally important with no size or emphasis differentiation
1020,bento-grid,Bento grid used for non-feature content,medium,Forcing testimonials pricing and stats into bento grid layouts
1021,bento-grid,Missing responsive bento collapse strategy,high,Bento grids don't adapt gracefully on mobile viewports
1022,bento-grid,No hover state differentiation between cells,medium,All cells respond to hover identically with no content-specific feedback
1023,bento-grid,Bento cells with equal padding regardless of content density,medium,Dense and sparse content get identical padding creating visual imbalance
1024,bento-grid,Missing bento grid accessibility reading order,medium,Grid visual order doesn't match DOM order for screen readers
1025,bento-grid,Bento grid with gradient backgrounds in every cell,medium,Each cell gets a gradient background creating visual noise
1026,dark-patterns-ai,Sycophantic AI assistants that always agree with users,critical,LLM assistants that validate every user input even when risky or wrong
1027,dark-patterns-ai,Endless helpful suggestion loops with no natural endpoint,critical,AI agents that continuously offer more suggestions preventing task completion
1028,dark-patterns-ai,AI altering user intent during rewriting or summarization,critical,Models that change tone emphasis or stance without making shifts obvious
1029,dark-patterns-ai,Personalized dark patterns that differ per user,critical,Manipulative patterns that adapt per user making them harder to detect
1030,dark-patterns-ai,Auto-enrolled smart mode or AI features by default,critical,AI features enabled without explicit user consent under guise of helpfulness
1031,dark-patterns-ai,AI ranking logic favoring business goals over user needs,high,Recommendation engines optimized for engagement instead of user value
1032,dark-patterns-ai,Limited or recommended framing generated by AI,high,AI-generated urgency and scarcity messages that aren't based on real data
1033,dark-patterns-ai,AI-generated urgency messages that aren't real,high,Fake countdown timers and stock warnings generated by AI systems
1034,dark-patterns-ai,Hidden AI data collection under personalization,high,Collecting user data for AI training without clear disclosure
1035,dark-patterns-ai,AI chatbots that deflect cancellation requests,high,Conversational agents designed to prevent or delay user cancellations
1036,dark-patterns-ai,Overly flattering AI tone to boost satisfaction scores,medium,Models that praise users excessively to inflate satisfaction metrics
1037,dark-patterns-ai,AI-generated social proof that is unverifiable,medium,Fake testimonials or metrics generated by AI without real sources
1038,dark-patterns-ai,AI recommendation engines optimized for engagement over truth,high,Systems that recommend content to maximize time-on-site not user value
1039,dark-patterns-ai,AI assistants that never say I do not know,medium,Models that fabricate answers instead of admitting uncertainty
1040,dark-patterns-ai,AI-generated terms changes without clear notice,medium,Subtle changes to terms or policies generated by AI without user awareness
1041,vibe-coding,Building full features before user validation,critical,Shipping complete features without testing if users actually need them
1042,vibe-coding,Vague prompts producing generic outputs,critical,Unspecific AI prompts that result in interchangeable generic interfaces
1043,vibe-coding,No user testing on AI-generated interfaces,high,Deploying AI-built UIs without any usability testing or user feedback
1044,vibe-coding,Feature creep enabled by AI development speed,high,Adding unnecessary features because AI makes it easy to generate them
1045,vibe-coding,Shipping without accessibility review,high,Deploying AI-generated code without WCAG compliance verification
1046,vibe-coding,No performance auditing on AI-generated code,high,Shipping without checking bundle size LCP or Core Web Vitals
1047,vibe-coding,Copy-pasting AI code without understanding,medium,Using AI-generated code without reviewing for security or correctness
1048,vibe-coding,Missing error handling in AI-generated async code,medium,Async operations without try-catch or error boundary patterns
1049,vibe-coding,No security review of AI-generated auth flows,medium,Authentication code from AI without reviewing for OWASP vulnerabilities
1050,vibe-coding,Deploying AI-generated code without code review,medium,No human review of AI-generated code before production deployment
1051,framework-bloat,Next.js for static marketing sites,critical,Using full React framework for pages that need zero interactivity
1052,framework-bloat,200-400KB JavaScript before first content,critical,Framework overhead that delays content visibility on marketing pages
1053,framework-bloat,Client-side rendering for above-the-fold content,critical,Rendering hero content client-side instead of server-side or static
1054,framework-bloat,Unnecessary SSR or SSG for static pages,high,Server rendering for pages that never change and could be pure HTML
1055,framework-bloat,React hydration for non-interactive content,high,Hydrating static text and images that need no JavaScript interactivity
1056,framework-bloat,Heavy animation libraries for simple transitions,high,Importing Framer Motion or GSAP for basic CSS hover effects
1057,framework-bloat,Multiple UI frameworks in one project,high,Mixing shadcn Mantine and custom components creating inconsistency
1058,framework-bloat,Unused dependencies from AI-generated boilerplate,medium,Installing full dependency trees for features that are never used
1059,framework-bloat,Missing bundle analysis or size budgets,medium,No monitoring of JavaScript bundle growth over time
1060,framework-bloat,Framework routing for single-page marketing sites,medium,Using React Router for pages that could be simple anchor links
1061,design-verbs,Zero interactive tools only decorative elements,critical,Pages with no calculators demos or tools — only static content
1062,design-verbs,Missing ROI calculators on B2B sites,high,No way for prospects to calculate value before contacting sales
1063,design-verbs,No interactive product demos,high,Product not demonstrated through hands-on interaction
1064,design-verbs,Missing assessment or quiz tools,medium,No self-assessment tools that help users understand their needs
1065,design-verbs,No comparison tables product versus alternatives,high,Missing side-by-side comparisons with competitors or status quo
1066,design-verbs,No before and after sliders,medium,Missing interactive visual comparisons of results
1067,design-verbs,Missing pricing configurators,medium,No way to estimate costs based on usage or feature selection
1068,design-verbs,No live data previews,medium,Product value not demonstrated with real or sample data
1069,design-verbs,Missing free tools as lead magnets,medium,No valuable free tools that demonstrate expertise and build trust
1070,design-verbs,No interactive onboarding flows,medium,Onboarding is static text instead of guided interactive experience
1071,aha-moment,Value proposition buried below the fold,critical,Users must scroll to understand what the product does
1072,aha-moment,Animations delaying content visibility over 300ms,critical,Hero content fades in slowly wasting the most valuable viewport
1073,aha-moment,Vague taglines that do not communicate product purpose,high,Headlines full of buzzwords with no specific meaning
1074,aha-moment,Value hidden behind forms or gates,high,Forcing email signup before showing what the product does
1075,aha-moment,Multi-step onboarding before showing value,high,Requiring multiple setup steps before user sees any benefit
1076,aha-moment,Missing specific numbers in hero only buzzwords,medium,Hero section with no concrete data metrics or specific claims
1077,aha-moment,No product demonstration in first viewport,medium,First screen shows marketing copy instead of the actual product
1078,aha-moment,Hero headline takes more than 10 words,medium,Overly long headlines that dilute the core message
1079,aha-moment,Missing who this is for in first viewport,medium,No clear indication of target audience in the hero section
1080,aha-moment,No clear next step after understanding value,medium,Users understand the product but don't know what action to take
1081,conversion,Hidden pricing Contact us for a quote,critical,Visitors interpret hidden pricing as too expensive or sales traps
1082,conversion,Logo walls without context or specific results,high,Company logos with no explanation of what was achieved
1083,conversion,Multiple competing CTAs per viewport,high,Decision paralysis from too many buttons asking for different actions
1084,conversion,No interactive lead magnets,high,Missing tools that provide value before asking for contact info
1085,conversion,Missing trust indicators near CTAs,medium,No security badges guarantees or social proof near conversion points
1086,conversion,No risk reversal guarantees or free trials,medium,Missing money-back guarantees or trial periods to reduce purchase risk
1087,conversion,Generic social proof trusted by 500 plus companies,medium,Vague claims without specific numbers or verifiable results
1088,conversion,Missing urgency without false scarcity,medium,No legitimate reasons to act now without fake countdown timers
1089,conversion,No specific case study numbers,medium,Case studies without concrete metrics revenue impact or time savings
1090,conversion,Missing comparison with status quo,medium,No clear articulation of what users lose by not switching
1091,conversion,No clear pricing tiers or starting prices,medium,Pricing page without transparent tier breakdown or entry point
1092,conversion,Missing testimonial results or metrics,medium,Testimonials without specific outcomes or measurable improvements
1093,conversion,No clear upgrade path between plans,medium,Not obvious what additional value each higher tier provides
1094,conversion,Missing free tier or freemium option,medium,All plans require payment with no way to try before buying
1095,conversion,No ROI evidence on landing pages,medium,Landing pages without data showing return on investment
1096,pwa,Missing service worker for offline support,critical,No offline capability for users with intermittent connections
1097,pwa,No web app manifest file,critical,Missing manifest prevents install prompts and home screen addition
1098,pwa,Missing install prompt strategy,high,No thoughtful timing for prompting users to install the app
1099,pwa,No offline fallback pages,high,Users see browser error pages instead of branded offline experience
1100,pwa,Missing cached critical assets,medium,Core resources not cached for offline or slow network access
1101,pwa,No background sync for form submissions,medium,Form data lost when submitted during connection drops
1102,pwa,Missing push notification permission strategy,medium,No thoughtful approach for requesting notification permissions
1103,pwa,No offline-first form data persistence,medium,User input not saved locally when connection is unavailable
1104,pwa,Missing app icon variations,medium,No proper icon set for different devices and contexts
1105,pwa,No splash screen customization,medium,Default browser splash screen instead of branded loading experience
1106,seo,Missing structured data JSON-LD,critical,No schema markup for search engines to understand page content
1107,seo,No canonical URL tags,high,Duplicate content issues without canonical URL declarations
1108,seo,Missing XML sitemap,high,Search engines cannot discover all site pages efficiently
1109,seo,No robots.txt optimization,medium,Missing or misconfigured robots.txt blocking important pages
1110,seo,Missing hreflang for multilingual sites,medium,Multilingual content not properly attributed to language variants
1111,seo,No breadcrumb schema markup,medium,Missing structured data for breadcrumb navigation in search results
1112,seo,Missing article schema for blog posts,medium,Blog posts not marked up for rich search result features
1113,seo,No FAQ schema on FAQ pages,medium,FAQ content not eligible for rich snippets in search results
1114,seo,Missing product schema for e-commerce,medium,Product pages not marked up for price availability and ratings
1115,seo,No image sitemap,medium,Images not discoverable by search engines through dedicated sitemap
1116,color,Warm off-white alternatives ignored,medium,Using pure white instead of warm off-whites like f5f0eb or faf8f5
1117,color,Hue-shifted dark mode backgrounds missing,medium,Dark mode uses pure black instead of hue-shifted dark backgrounds
1118,color,No color temperature progression through sections,medium,Every section uses identical color temperature with no visual journey
1119,typography,Missing text-wrap balance on headings,high,Headlines wrap awkwardly without text-wrap balance optimization
1120,typography,Missing text-wrap pretty for mobile,medium,Mobile text wraps with orphaned words without pretty wrapping
1121,typography,No variable font axis usage,medium,Not leveraging variable font weight width and optical size axes
1122,layout,Missing CSS subgrid usage,medium,Nested grids don't use subgrid for aligned parent-child layouts
1123,layout,No container query layouts,high,Components don't adapt to container size only viewport breakpoints
1124,layout,Missing aspect-ratio intentionality,medium,No deliberate aspect ratio choices for media and content blocks
1125,animation,Missing scroll-timeline native scroll animations,high,Not using 2026 native scroll-driven animations with scroll-timeline
1126,animation,Missing view-timeline for element visibility,high,Not using view-timeline for element-based scroll animations
1127,animation,Missing starting-style for entry animations,medium,Entry animations use JavaScript instead of native starting-style
1128,components,Missing native details and summary for accordions,medium,Using JavaScript accordions instead of native HTML details element
1129,components,Missing popover API for tooltips and menus,medium,Not using native popover attribute for contextual overlays
1130,components,Missing dialog element for modals,medium,Using div-based modals instead of native HTML dialog element
1131,accessibility,Missing focus-visible versus focus differentiation,high,All focus states use same style instead of keyboard-only focus-visible
1132,accessibility,Missing inert attribute usage,medium,Background content not marked inert when modals or overlays are open
1133,accessibility,Missing content-visibility for performance,medium,Off-screen content not using content-visibility to improve rendering
1134,responsive,60px minimum tap targets on mobile,high,Using 44px minimum instead of 60px for comfortable mobile tapping
1135,responsive,No thumb zone placement consideration,high,Interactive elements placed outside natural thumb reach area
1136,responsive,Missing dynamic toolbar vh fallbacks,medium,Using 100vh without dvh or svh fallbacks for mobile browsers
1137,responsive,No foldable screen support,medium,Layouts don't adapt to foldable devices with hinge detection
1138,performance,Missing LCP image preloading,high,Above-the-fold images not preloaded with link rel preload
1139,performance,Missing fetchpriority high for hero images,high,Hero images not prioritized with fetchpriority high attribute
1140,performance,Missing content-visibility auto for long pages,medium,Long pages not using content-visibility auto for render performance
1141,performance,Missing font-display optional,medium,Using font-display swap instead of optional for better performance
1142,performance,No INP optimization considerations,medium,Not optimizing for Interaction to Next Paint under 200ms threshold
1143,imagery,Missing AVIF format for images,medium,Using WebP or JPEG instead of AVIF for better compression
1144,imagery,Picture element misuse,medium,Picture element used only for art direction not format optimization
1145,imagery,Missing decoding async on images,medium,Images not using decoding async to avoid blocking main thread
1146,copy,Missing specific numbers and data in claims,high,Marketing copy with no concrete statistics or measurable results
1147,copy,No brand voice or personality,high,Generic corporate tone that could belong to any company
1148,copy,Missing benefit-oriented headlines,medium,Headlines focused on features instead of user benefits
