ID,Category,Design Element,Description,Human Quality Signal
787,Social,Woodcut social icons,Social icons in woodcut style,Relief printing
788,Social,Embroidered social icons,Social icons with embroidered look,Needlework
789,Social,Clay social buttons,Social buttons styled as clay,Pottery
790,Social,Paper cut social icons,Social icons as paper cutouts,Paper craft
791,Social,Hand-lettered share text,Share text in hand-lettered style,Calligraphy
792,Social,Torn paper share buttons,Share buttons on torn paper,Physical paper
793,Social,Notebook social icons,Social icons as notebook doodles,Study aesthetic
794,Social,Chalk social icons,Social icons in chalk style,Chalkboard
795,Social,Neon social icons,Social icons as neon signs,Sign making
796,Social,Paint stroke social icons,Social icons as paint strokes,Painterly
797,Social,Marker social icons,Social icons as marker drawings,Everyday tool
798,Social,Crayon social icons,Social icons as crayon drawings,Childhood craft
799,Social,Pencil social icons,Social icons as pencil sketches,Drawing tool
800,Social,Stamp collection social,Social icons as stamp collection,Philately
801,Onboarding,Hand-drawn onboarding steps,Onboarding with hand-drawn illustrations,Sketchy guide
802,Onboarding,Sketchy tutorial steps,Tutorial steps with sketchy illustrations,Design process
803,Onboarding,Handwritten onboarding text,Onboarding text in handwriting,Personal guide
804,Onboarding,Watercolor onboarding,Onboarding with watercolor illustrations,Paint medium
805,Onboarding,Charcoal onboarding,Onboarding with charcoal illustrations,Drawing medium
806,Onboarding,Ink onboarding,Onboarding with ink illustrations,Ink medium
807,Onboarding,Woodcut onboarding,Onboarding with woodcut illustrations,Relief printing
808,Onboarding,Embroidery onboarding,Onboarding with embroidered illustrations,Needlework
809,Onboarding,Clay onboarding,Onboarding with clay illustrations,Pottery
810,Onboarding,Paper cut onboarding,Onboarding with paper cut illustrations,Paper craft
811,Onboarding,Notebook onboarding,Onboarding styled as notebook guide,Study aesthetic
812,Onboarding,Blueprint onboarding,Onboarding styled as blueprint guide,Technical drawing
813,Onboarding,Chalkboard onboarding,Onboarding styled as chalkboard lesson,Chalkboard
814,Onboarding,Stamp onboarding,Onboarding with stamp illustrations,Stamping
815,Onboarding,Torn paper onboarding,Onboarding on torn paper aesthetic,Physical paper
816,Onboarding,Paint onboarding,Onboarding with paint illustrations,Painterly
817,Onboarding,Marker onboarding,Onboarding with marker illustrations,Everyday tool
818,Onboarding,Crayon onboarding,Onboarding with crayon illustrations,Childhood craft
819,Onboarding,Pencil onboarding,Onboarding with pencil illustrations,Drawing tool
820,Onboarding,Origami onboarding,Onboarding with origami illustrations,Origami
821,Accessibility,Hand-drawn focus rings,Focus indicators hand-drawn,Sketchy focus
822,Accessibility,High contrast hand-drawn,High contrast mode with hand-drawn elements,Accessible craft
823,Accessibility,Sketchy aria labels,Aria labels styled as handwritten notes,Accessible annotation
824,Accessibility,Hand-drawn skip links,Skip navigation links hand-drawn,Sketchy navigation
825,Accessibility,Watercolor focus state,Focus state with watercolor highlight,Paint medium
826,Accessibility,Charcoal focus state,Focus state with charcoal highlight,Drawing medium
827,Accessibility,Ink focus state,Focus state with ink highlight,Ink medium
828,Accessibility,Stamp focus indicator,Focus indicator styled as stamp,Stamping
829,Accessibility,Handwritten alt text,Alt text display in handwriting style,Accessible description
830,Accessibility,Sketchy error indicators,Error indicators hand-drawn,Sketchy warning
831,Accessibility,Hand-drawn progress indicator,Progress indicator hand-drawn,Sketchy progress
832,Accessibility,Tactile visual cues,Visual cues that suggest tactile interaction,Tactile suggestion
833,Accessibility,Hand-drawn breadcrumbs,Breadcrumb navigation hand-drawn,Sketchy path
834,Accessibility,Sketchy form validation,Form validation with hand-drawn indicators,Sketchy feedback
835,Accessibility,Handwritten instructions,Instructions in handwriting style,Personal guidance
836,Accessibility,Stamp required fields,Required field indicators as stamps,Stamping
837,Accessibility,Watercolor active state,Active state with watercolor highlight,Paint medium
838,Accessibility,Charcoal visited state,Visited state with charcoal mark,Drawing medium
839,Accessibility,Ink hover indicator,Hover indicator with ink effect,Ink medium
840,Accessibility,Hand-drawn keyboard hints,Keyboard shortcut hints hand-drawn,Sketchy hints
841,Organic Shape,Hand-drawn blob shapes,Blob shapes with hand-drawn quality,Organic drawing
842,Organic Shape,Watercolor blob,Shapes with watercolor fill and bleed,Paint medium
843,Organic Shape,Ink wash blob,Shapes with ink wash texture,Ink medium
844,Organic Shape,Charcoal blob,Shapes with charcoal texture,Drawing medium
845,Organic Shape,Paint stroke shape,Shapes made from visible paint strokes,Painterly
846,Organic Shape,Clay blob shape,Shapes styled as molded clay,Pottery
847,Organic Shape,Paper cut organic,Organic shapes as paper cutouts,Paper craft
848,Organic Shape,Fabric organic shape,Organic shapes with fabric texture,Textile craft
849,Organic Shape,Leather organic shape,Organic shapes with leather texture,Luxury craft
850,Organic Shape,Wood organic shape,Organic shapes with wood grain,Woodworking
851,Organic Shape,Stone organic shape,Organic shapes with stone texture,Geology
852,Organic Shape,Ceramic organic shape,Organic shapes with ceramic appearance,Pottery
853,Organic Shape,Metal organic shape,Organic shapes with metal texture,Metalwork
854,Organic Shape,Glass organic shape,Organic shapes with glass appearance,Glass craft
855,Organic Shape,Wax organic shape,Organic shapes with wax texture,Candle craft
856,Organic Shape,Soap organic shape,Organic shapes with soap texture,Soap making
857,Organic Shape,Dough organic shape,Organic shapes with dough texture,Baking
858,Organic Shape,Cloud organic shape,Organic shapes with cloud texture,Atmospheric
859,Organic Shape,Leaf organic shape,Organic shapes with leaf texture,Botanical
860,Organic Shape,Petal organic shape,Organic shapes with petal texture,Floral
861,Brutalist,Raw concrete elements,Elements with raw concrete texture,Brutalist material
862,Brutalist,Exposed structure,Visible structural elements like beams and joints,Structural honesty
863,Brutalist,Monospace typography,Monospace fonts for raw technical feel,Technical aesthetic
864,Brutalist,High contrast black white,Stark black and white contrast,Graphic boldness
865,Brutalist,Intentional misalignment,Elements deliberately misaligned,Anti-perfection
866,Brutalist,Visible grid lines,Grid lines left visible as design element,Process exposure
867,Brutalist,Raw HTML aesthetic,Design that looks like raw HTML,Code honesty
868,Brutalist,System font usage,Using system default fonts intentionally,Anti-design
869,Brutalist,Default browser elements,Styled default browser elements,Raw aesthetic
870,Brutalist,Intentional overflow,Content intentionally overflowing boundaries,Rule breaking
871,Brutalist,Harsh shadows,Harsh unblurred shadows,Graphic boldness
872,Brutalist,Bold borders,Thick bold borders around elements,Graphic weight
873,Brutalist,Clashing colors,Intentionally clashing color combinations,Anti-harmony
874,Brutalist,Asymmetric chaos,Deliberately chaotic asymmetric layout,Controlled chaos
875,Brutalist,Raw photography,Unedited raw photography,Authentic imagery
876,Brutalist,Typographic aggression,Aggressive oversized typography,Visual impact
877,Brutalist,Visible scrollbars,Scrollbars left visible and styled,Functional honesty
878,Brutalist,Default cursor,Intentionally using default cursor,Anti-polish
879,Brutalist,Hard edges,Sharp unrounded edges everywhere,Geometric rawness
880,Brutalist,No transitions,Absence of smooth transitions,Immediate response
881,Craft Material,Thread and stitching,Visible thread and stitching on elements,Sewing craft
882,Craft Material,Embroidery details,Embroidered details on UI elements,Needlework
883,Craft Material,Knitting patterns,Knitted texture patterns on elements,Knitting
884,Craft Material,Weaving texture,Woven texture on UI surfaces,Textile weaving
885,Craft Material,Paper folding,Origami and paper fold effects,Paper craft
886,Craft Material,Paper cutting,Layered paper cutout effects,Paper craft
887,Craft Material,Wood carving,Carved wood texture and effects,Woodworking
888,Craft Material,Clay and pottery,Clay and ceramic textures,Pottery
889,Craft Material,Metal forging,Forged metal texture and effects,Blacksmith
890,Craft Material,Glass blowing,Blown glass texture and effects,Glass craft
891,Craft Material,Leather working,Leather texture and tooling,Luxury craft
892,Craft Material,Stone carving,Carved stone texture and effects,Masonry
893,Craft Material,Wax and candle,Wax texture and drip effects,Candle craft
894,Craft Material,Soap carving,Carved soap texture and effects,Soap craft
895,Craft Material,Bread and baking,Bread crust and baking textures,Baking
896,Craft Material,Ceramic glaze,Ceramic glaze texture and effects,Pottery
897,Craft Material,Mosaic tile,Mosaic tile patterns and effects,Mosaic art
898,Craft Material,Stained glass,Stained glass texture and effects,Glass craft
899,Craft Material,Macrame,Macrame knot patterns and texture,Knot craft
900,Craft Material,Basket weaving,Basket weave patterns and texture,Basket craft
901,Imperfection,Intentional wobble,Elements with intentional wobble,Hand-drawn feel
902,Imperfection,Rough edges,Elements with rough unfinished edges,Hand-finished
903,Imperfection,Visible seams,Visible construction seams,Assembly honesty
904,Imperfection,Misregistration,Intentional color misregistration,Print process
905,Imperfection,Inconsistent spacing,Intentionally inconsistent spacing,Human rhythm
906,Imperfection,Visible construction lines,Construction lines left visible,Design process
907,Imperfection,Hand-drawn grid,Grid lines that look hand-drawn,Manual layout
908,Imperfection,Asymmetric elements,Deliberately asymmetric elements,Human balance
909,Imperfection,Varied line weights,Lines with varying thickness,Hand-drawn quality
910,Imperfection,Intentional smudges,Intentional smudge marks,Physical interaction
911,Imperfection,Hand-cut appearance,Elements that look hand-cut,Scissor craft
912,Imperfection,Uneven fills,Fills with uneven coverage,Hand application
913,Imperfection,Visible brush strokes,Visible paint brush strokes,Painterly
914,Imperfection,Ink splatter,Intentional ink splatter marks,Ink medium
915,Imperfection,Pencil marks,Visible pencil construction marks,Drawing process
916,Imperfection,Eraser marks,Visible eraser marks,Correction process
917,Imperfection,Fingerprints,Intentional fingerprint marks,Physical handling
918,Imperfection,Wear and tear,Intentional wear and tear effects,Usage history
919,Imperfection,Aging effects,Intentional aging and patina,Time passage
920,Imperfection,Repair marks,Visible repair and mending marks,Kintsugi philosophy
921,Sound Design,Hand-drawn sound visualization,Sound visualized as hand-drawn waves,Sketchy audio
922,Sound Design,Typewriter key sounds,Typewriter key click sounds,Typing craft
923,Sound Design,Paper rustle sounds,Paper rustling interaction sounds,Physical paper
924,Sound Design,Pencil scratching sounds,Pencil on paper sounds,Drawing sound
925,Sound Design,Paint brush sounds,Brush on canvas sounds,Painting sound
926,Sound Design,Stamp thud sounds,Rubber stamp impression sounds,Stamping sound
927,Sound Design,Chalk on board sounds,Chalk on chalkboard sounds,Chalk drawing
928,Sound Design,Scissors cutting sounds,Scissors cutting paper sounds,Scissor craft
929,Sound Design,Sewing machine sounds,Sewing machine interaction sounds,Needlework
930,Sound Design,Wood carving sounds,Chisel on wood sounds,Wood carving
931,Sound Design,Clay shaping sounds,Hands on clay sounds,Pottery
932,Sound Design,Metal hammering sounds,Hammer on metal sounds,Blacksmith
933,Sound Design,Page turning sounds,Book page turning sounds,Reading
934,Sound Design,Ink pen scratching,Fountain pen on paper sounds,Writing
935,Sound Design,Wax seal pressing,Wax seal pressing sounds,Traditional craft
936,Sound Design,Origami folding sounds,Paper folding sounds,Origami
937,Sound Design,Weaving loom sounds,Loom weaving sounds,Textile craft
938,Sound Design,Pottery wheel sounds,Pottery wheel spinning sounds,Pottery
939,Sound Design,Watercolor brush sounds,Wet brush on paper sounds,Painting
940,Sound Design,Charcoal drawing sounds,Charcoal on paper sounds,Drawing
941,Spacing,Hand-measured spacing,Spacing that feels hand-measured not calculated,Human measurement
942,Spacing,Organic rhythm spacing,Spacing with organic not mathematical rhythm,Natural pacing
943,Spacing,Intentional crowding,Dense areas creating visual tension,Human composition
944,Spacing,Breathing room pauses,Generous pauses between content sections,Thoughtful pause
945,Spacing,Varied vertical rhythm,Inconsistent but intentional vertical spacing,Human rhythm
946,Spacing,Asymmetric margins,Intentionally asymmetric margins,Human balance
947,Spacing,Hand-placed gaps,Gaps that look manually placed,Human placement
948,Spacing,Notebook margin spacing,Spacing mimicking notebook margins,Study aesthetic
949,Spacing,Collage spacing,Spacing mimicking physical collage assembly,Physical assembly
950,Spacing,Gallery wall spacing,Spacing mimicking gallery wall arrangement,Curated display
951,Border,Hand-drawn border,Borders that look drawn with pen or brush,Manual drawing
952,Border,Rough-cut border,Borders with rough hand-cut edges,Scissor craft
953,Border,Torn paper border,Borders with torn paper edges,Physical tearing
954,Border,Stitched border,Borders with visible stitching,Sewing craft
955,Border,Stamp border,Borders with rubber stamp effect,Stamping
956,Border,Ink wash border,Borders with ink wash texture,Ink medium
957,Border,Watercolor border,Borders with watercolor wash,Paint medium
958,Border,Charcoal border,Borders with charcoal texture,Drawing medium
959,Border,Embroidered border,Borders with embroidered appearance,Needlework
960,Border,Woodcut border,Borders in woodcut style,Relief printing
961,Border,Brush stroke border,Borders with visible brush strokes,Painting
962,Border,Pencil sketch border,Borders sketched in pencil,Drawing tool
963,Border,Marker border,Borders drawn with marker pen,Everyday tool
964,Border,Crayon border,Borders drawn in crayon,Childhood craft
965,Border,Chalk border,Borders drawn in chalk,Chalkboard
966,Border,Neon tube border,Borders styled as neon tubes,Sign making
967,Border,Wax seal border,Borders with wax seal accents,Traditional craft
968,Border,Thread border,Borders with visible thread,Sewing
969,Border,Carved wood border,Borders styled as carved wood,Wood carving
970,Border,Metal etched border,Borders with metal etched appearance,Metalwork
971,Shadow,Hand-drawn shadow,Shadows that look hand-drawn,Sketchy shadow
972,Shadow,Organic shadow shape,Shadows with organic irregular shapes,Natural shadow
973,Shadow,Multiple shadow layers,Multiple offset shadows creating depth,Physical layering
974,Shadow,Colored shadows,Shadows with color not just gray,Colored light
975,Shadow,Watercolor shadow,Shadows with watercolor texture,Paint medium
976,Shadow,Ink wash shadow,Shadows with ink wash texture,Ink medium
977,Shadow,Charcoal shadow,Shadows with charcoal texture,Drawing medium
978,Shadow,Paint shadow,Shadows with visible paint texture,Painterly
979,Shadow,Pencil shadow,Shadows sketched in pencil,Drawing tool
980,Shadow,Stamp shadow,Shadows with stamp impression effect,Stamping
981,Shadow,Torn paper shadow,Shadows with torn paper edges,Physical paper
982,Shadow,Embroidered shadow,Shadows with embroidered texture,Needlework
983,Shadow,Woodcut shadow,Shadows in woodcut style,Relief printing
984,Shadow,Clay shadow,Shadows styled as clay forms,Pottery
985,Shadow,Paper cut shadow,Shadows styled as paper cutout layers,Paper craft
986,Shadow,Neon glow shadow,Shadows with neon glow effect,Sign making
987,Shadow,Candlelight shadow,Shadows mimicking candlelight,Warm light
988,Shadow,Firelight shadow,Shadows mimicking firelight,Flickering light
989,Shadow,Sunlight shadow,Shadows mimicking natural sunlight,Natural light
990,Shadow,Moonlight shadow,Shadows mimicking moonlight,Night light
991,Feedback,Hand-drawn success check,Success feedback with hand-drawn check,Sketchy approval
992,Feedback,Stamp approval feedback,Feedback styled as approved stamp,Stamping
993,Feedback,Handwritten feedback,Feedback messages in handwriting,Personal response
994,Feedback,Red pen correction feedback,Feedback styled as red pen correction,Teacher feedback
995,Feedback,Watercolor success feedback,Success with watercolor bloom,Paint medium
996,Feedback,Ink stamp feedback,Feedback with ink stamp effect,Stamping
997,Feedback,Charcoal error feedback,Error with charcoal smudge,Drawing medium
998,Feedback,Sketchy loading feedback,Loading with sketch animation,Active drawing
999,Feedback,Paint splash feedback,Feedback with paint splash effect,Painterly
1000,Feedback,Embroidered completion,Completion feedback with embroidered check,Needlework
