ID,Category,Design Element,Description,Human Quality Signal
777,Social,Workshop social,Social designed like a workshop collaboration,Craft culture
778,Social,Studio social,Social styled like an artist studio visit,Art culture
779,Social,Gallery social,Social designed like a gallery opening,Art culture
780,Social,Theater social,Social styled like a theater lobby conversation,Performance culture
781,Onboarding,Hand-drawn welcome,Onboarding with hand-drawn welcome illustration,Sketch quality
782,Onboarding,Guided tour steps,Onboarding styled like a guided museum tour,Cultural institution
783,Onboarding,Map journey onboarding,Onboarding designed like a map journey,Exploration metaphor
784,Onboarding,Recipe steps onboarding,Onboarding styled like following a recipe,Cooking metaphor
785,Onboarding,Instruction manual onboarding,Onboarding designed like an instruction manual,Product culture
786,Onboarding,Field guide onboarding,Onboarding styled like a field guide,Natural history
787,Onboarding,Apprentice onboarding,Onboarding designed like an apprenticeship,Craft tradition
788,Onboarding,Scout handbook onboarding,Onboarding styled like a scout handbook,Learning culture
789,Onboarding,Workbook onboarding,Onboarding designed like a workbook,Educational culture
790,Onboarding,Orientation onboarding,Onboarding styled like a school orientation,Educational culture
791,Onboarding,Welcome letter onboarding,Onboarding designed like a welcome letter,Correspondence
792,Onboarding,Starter kit onboarding,Onboarding styled like a starter kit,Product culture
793,Onboarding,First steps onboarding,Onboarding designed like a baby's first steps,Growth metaphor
794,Onboarding,Seed planting onboarding,Onboarding styled like planting seeds,Growth metaphor
795,Onboarding,Foundation laying onboarding,Onboarding designed like laying a foundation,Construction metaphor
796,Onboarding,Compass onboarding,Onboarding styled like receiving a compass,Navigation metaphor
797,Onboarding,Key handover onboarding,Onboarding designed like receiving a key,Access metaphor
798,Onboarding,Passport stamp onboarding,Onboarding styled like getting a passport stamp,Travel metaphor
799,Onboarding,Initiation onboarding,Onboarding designed like a craft guild initiation,Tradition culture
800,Onboarding,Welcome mat onboarding,Onboarding styled like a welcome mat,Hospitality culture
801,Accessibility,High contrast hand-drawn,High contrast elements with hand-drawn quality,Sketch accessibility
802,Accessibility,Large text hand-drawn,Large text with hand-drawn character,Readable craft
803,Accessibility,Screen reader annotations,Annotations designed for screen reader compatibility,Inclusive design
804,Accessibility,Keyboard navigation hints,Keyboard shortcuts shown as hand-drawn hints,Inclusive interaction
805,Accessibility,Focus indicator hand-drawn,Focus indicator styled like a hand-drawn circle,Sketch accessibility
806,Accessibility,Alt text illustrations,Alternative text shown as hand-drawn descriptions,Inclusive design
807,Accessibility,Reduced motion variants,Reduced motion with subtle hand-drawn stillness,Accessibility consideration
808,Accessibility,Tactile pattern indicators,Patterns that work for color-blind users,Inclusive design
809,Accessibility,Voice command hints,Voice commands shown as speech bubbles,Inclusive interaction
810,Accessibility,Dyslexia-friendly text layout,Text layout optimized for dyslexia readers,Reading accessibility
811,Accessibility,Cognitive load reduction,Simplified layouts with hand-drawn clarity,Mental accessibility
812,Accessibility,Motion sensitivity indicators,Indicators for users sensitive to motion,Health consideration
813,Accessibility,Epilepsy-safe animations,Animations designed to be seizure-safe,Health consideration
814,Accessibility,Color-blind palette,Color palette tested for color-blind accessibility,Inclusive design
815,Accessibility,Font size controls,Font size controls styled like physical adjustment knobs,Accessible control
816,Accessibility,Reading guide overlay,Reading guide overlay like a ruler,Reading aid
817,Accessibility,Text-to-speech indicator,Indicator showing text being read aloud,Inclusive technology
818,Accessibility,Gesture alternative indicators,Alternative to gesture-based interactions,Motor accessibility
819,Accessibility,Time extension indicators,Indicators for extended time options,Cognitive accessibility
820,Accessibility,Plain language toggle,Toggle for simplified language,Cognitive accessibility
821,Organic Shape,Hand-drawn blob,Organic blob shape with hand-drawn quality,Sketch quality
822,Organic Shape,Watercolor blob,Organic shape with watercolor fill and bleed,Paint medium
823,Organic Shape,Ink spill shape,Organic shape like spilled ink,Accident beauty
824,Organic Shape,Cloud shape,Organic cloud-like shape,Atmospheric form
825,Organic Shape,Leaf shape,Organic leaf shape with visible veins,Natural form
826,Organic Shape,Petal shape,Organic petal shape with soft edges,Floral form
827,Organic Shape,Stone shape,Organic river stone shape,Natural form
828,Organic Shape,Drop shape,Organic water drop shape,Fluid form
829,Organic Shape,Flame shape,Organic flame shape,Fire form
830,Organic Shape,Smoke shape,Organic smoke wisps shape,Atmospheric form
831,Organic Shape,Shell shape,Organic shell spiral shape,Natural geometry
832,Organic Shape,Wave shape,Organic wave shape,Water form
833,Organic Shape,Mountain shape,Organic mountain silhouette,Landform
834,Organic Shape,Branch shape,Organic tree branch shape,Plant form
835,Organic Shape,Root shape,Organic root system shape,Plant form
836,Organic Shape,Cell shape,Organic cell-like shape,Biological form
837,Organic Shape,Organ shape,Organic organ-like shape,Biological form
838,Organic Shape,Fingerprint shape,Organic fingerprint ridge pattern,Human identity
839,Organic Shape,Topographic shape,Organic topographic contour shape,Map form
840,Organic Shape,Marble vein shape,Organic marble veining shape,Stone form
841,Brutalist,Raw border edges,Elements with raw unfinished border edges,Intentional rawness
842,Brutalist,System font usage,Deliberate use of system default fonts,Anti-design
843,Brutalist,Visible grid lines,Grid lines left visible as design element,Structural honesty
844,Brutalist,Overlapping elements,Elements that intentionally overlap without refinement,Compositional rawness
845,Brutalist,Default browser styles,Deliberate use of unstyled browser defaults,Anti-polish
846,Brutalist,Monospace everything,All text in monospace for raw technical feel,Terminal aesthetic
847,Brutalist,High contrast black and white,Stark black and white with no gray,Graphic rawness
848,Brutalist,Intentional misalignment,Elements deliberately misaligned,Anti-perfection
849,Brutalist,Oversized typography,Extremely large type that dominates the viewport,Typographic aggression
850,Brutalist,Visible HTML structure,HTML structure tags visible as design,Anti-abstraction
851,Brutalist,Clipped content,Content that intentionally clips at boundaries,Anti-containment
852,Brutalist,Marquee text,Scrolling marquee text as design element,Web nostalgia
853,Brutalist,Blinking elements,Intentional blinking elements,Web nostalgia
854,Brutalist,Cursor trail,Visible cursor trail following mouse movement,Interactive rawness
855,Brutalist,Table-based layout,Deliberate table-based layout,Web nostalgia
856,Brutalist,Animated GIF aesthetic,Design that embraces animated GIF culture,Internet culture
857,Brutalist,Under construction aesthetic,Elements that reference web under construction,Web nostalgia
858,Brutalist,Visitor counter,Visible visitor counter element,Web nostalgia
859,Brutalist,Broken image aesthetic,Deliberate broken image icon as design,Internet culture
860,Brutalist,ASCII art elements,ASCII art used as decorative elements,Terminal culture
861,Craft Material,Paper craft elements,Elements designed with paper craft techniques,Paper craft
862,Craft Material,Origami elements,Elements that look folded from paper,Origami craft
863,Craft Material,Quilling elements,Elements designed with paper quilling technique,Paper craft
864,Craft Material,Decoupage elements,Elements with decoupage layered paper effect,Paper craft
865,Craft Material,Papier-mache elements,Elements with papier-mache texture,Paper craft
866,Craft Material,Clay elements,Elements that look molded from clay,Pottery craft
867,Craft Material,Ceramic elements,Elements with ceramic glaze texture,Pottery craft
868,Craft Material,Wood elements,Elements with visible wood grain and texture,Woodworking
869,Craft Material,Metal elements,Elements with brushed or forged metal texture,Metalworking
870,Craft Material,Glass elements,Elements with frosted or blown glass texture,Glass craft
871,Craft Material,Textile elements,Elements with woven fabric texture,Textile craft
872,Craft Material,Leather elements,Elements with tooled leather texture,Leather craft
873,Craft Material,Wax elements,Elements with wax seal or candle texture,Wax craft
874,Craft Material,Resin elements,Elements with resin and embedded objects,Resin craft
875,Craft Material,Concrete elements,Elements with raw concrete texture,Architectural material
876,Craft Material,Stone elements,Elements with carved stone texture,Stone craft
877,Craft Material,Chalk elements,Elements with chalk texture and dust,Classroom material
878,Craft Material,Pastel elements,Elements with pastel chalk texture,Art medium
879,Craft Material,Charcoal elements,Elements with charcoal texture and smudging,Drawing medium
880,Craft Material,Ink elements,Elements with ink wash and bleed,Print medium
881,Imperfection,Wobble line effect,Lines with intentional hand-drawn wobble,Human gesture
882,Imperfection,Inconsistent spacing,Spacing that varies naturally rather than being uniform,Human rhythm
883,Imperfection,Slight rotation variation,Elements rotated slightly differently,Human placement
884,Imperfection,Size inconsistency,Elements with slight size variations,Human variation
885,Imperfection,Color drift,Colors that drift slightly across a surface,Hand-mixed paint
886,Imperfection,Edge roughness,Edges that are slightly rough instead of pixel-perfect,Hand-cut quality
887,Imperfection,Alignment drift,Elements that drift from perfect alignment,Human placement
888,Imperfection,Weight variation,Line weights that vary naturally,Hand-drawn pressure
889,Imperfection,Texture inconsistency,Texture that varies across a surface,Material variation
890,Imperfection,Opacity variation,Opacity that varies slightly across elements,Hand-applied medium
891,Imperfection,Bleed beyond bounds,Elements that slightly bleed beyond their container,Physical medium
892,Imperfection,Registration error,Elements with slight misregistration like print,Print imperfection
893,Imperfection,Dot gain,Elements with slight dot gain like printing,Print behavior
894,Imperfection,Moire pattern,Subtle moire pattern from overlapping elements,Print artifact
895,Imperfection,Banding,Subtle color banding in gradients,Analog gradient
896,Imperfection,Noise overlay,Subtle noise overlay across the design,Film grain
897,Imperfection,Vignette effect,Subtle darkening at edges of viewport,Optical effect
898,Imperfection,Chromatic aberration,Subtle color fringing at edges,Optical imperfection
899,Imperfection,Light leak,Subtle light leak effect at edges,Film imperfection
900,Imperfection,Dust and scratches,Subtle dust and scratch effects,Film imperfection
901,Sound Design,Page turn sound,Subtle page turn sound on navigation,Book interaction
902,Sound Design,Typewriter key sound,Typewriter key strike on text input,Writing tool
903,Sound Design,Pencil scratch sound,Pencil on paper sound on drawing actions,Drawing medium
904,Sound Design,Stamp impression sound,Rubber stamp sound on confirmation,Office tool
905,Sound Design,Paper rustle sound,Paper rustling on scroll,Physical paper
906,Sound Design,Ink drop sound,Ink drop sound on element appearance,Print medium
907,Sound Design,Brush stroke sound,Brush on canvas sound on paint effects,Paint medium
908,Sound Design,Chalk on board sound,Chalk writing sound on text input,Classroom material
909,Sound Design,Wood knock sound,Wood knock sound on button press,Woodworking
910,Sound Design,Metal click sound,Metal click sound on toggle,Machine control
911,Sound Design,Fabric rustle sound,Fabric rustling on hover,Textile material
912,Sound Design,Water drop sound,Water drop sound on loading completion,Water element
913,Sound Design,Fire crackle sound,Subtle fire crackle on warm interactions,Fire element
914,Sound Design,Wind sound,Subtle wind on scroll,Natural element
915,Sound Design,Bird call sound,Subtle bird call on positive actions,Nature element
916,Sound Design,Rain sound,Subtle rain on background,Weather element
917,Sound Design,Clock tick sound,Subtle clock tick on timed actions,Time element
918,Sound Design,Record needle sound,Record needle drop on media play,Music culture
919,Sound Design,Camera shutter sound,Camera shutter on capture actions,Photography
920,Sound Design,Match strike sound,Match strike on ignition actions,Fire starting
921,Spacing,Breathing room spacing,Variable spacing that gives elements room to breathe,Organic rhythm
922,Spacing,Asymmetric margins,Margins that differ on each side,Human composition
923,Spacing,Proportional spacing,Spacing based on visual weight not mathematical equality,Intuitive design
924,Spacing,Tight cluster spacing,Some elements clustered tightly while others spaced wide,Natural grouping
925,Spacing,Rhythmic spacing,Spacing that follows a natural rhythm not a strict grid,Musical rhythm
926,Spacing,Golden ratio spacing,Spacing based on golden ratio proportions,Natural mathematics
927,Spacing,Fibonacci spacing,Spacing following Fibonacci sequence,Natural growth pattern
928,Spacing,Organic whitespace,Whitespace that flows naturally around content,Negative space
929,Spacing,Variable line height,Line height that varies for visual interest,Typographic variation
930,Spacing,Intentional crowding,Some areas intentionally crowded for density contrast,Compositional tension
931,Spacing,Generous margins,Unusually generous margins for breathing room,Confident restraint
932,Spacing,Overlapping spacing,Elements that overlap rather than sit side by side,Physical layering
933,Spacing,Depth-based spacing,Spacing that varies by perceived depth,Spatial hierarchy
934,Spacing,Content-driven spacing,Spacing determined by content needs not grid rules,Content-first
935,Spacing,Emotional spacing,Spacing that reflects the emotional tone of content,Emotional design
936,Spacing,Cultural spacing,Spacing based on cultural reading patterns,Cultural sensitivity
937,Spacing,Contextual spacing,Spacing that adapts to the context of use,Adaptive design
938,Spacing,Narrative spacing,Spacing that supports the narrative flow,Storytelling
939,Spacing,Pacing spacing,Spacing that controls the pacing of content consumption,Rhythm control
940,Spacing,Attention spacing,Spacing that guides attention to important elements,Visual hierarchy
941,Border,Hand-drawn border,Border with irregular hand-drawn lines,Sketch quality
942,Border,Ink bleed border,Border with ink bleeding beyond the line,Print medium
943,Border,Brush stroke border,Border that looks like a single brush stroke,Painting gesture
944,Border,Thread border,Border that looks like a stitched thread,Textile craft
945,Border,Torn paper border,Border with torn paper edge effect,Physical tearing
946,Border,Burned edge border,Border with burned or scorched edge effect,Fire effect
947,Border,Worn edge border,Border with worn and faded edges,Aging effect
948,Border,Watercolor edge border,Border with watercolor bleeding at edges,Paint medium
949,Border,Charcoal edge border,Border with charcoal smudge at edges,Drawing medium
950,Border,Chalk edge border,Border with chalk dust at edges,Classroom material
951,Border,Stamp edge border,Border with rubber stamp texture,Stamp medium
952,Border,Woodcut edge border,Border with woodcut print texture,Relief printing
953,Border,Etched border,Border with etched metal texture,Metalworking
954,Border,Carved border,Border with carved wood or stone texture,Carving craft
955,Border,Embroidered border,Border with visible embroidery stitches,Textile craft
956,Border,Braided border,Border that looks like braided material,Rope craft
957,Border,Woven border,Border with woven pattern,Weaving craft
958,Border,Knotted border,Border with visible knot details,Rope craft
959,Border,Sealed border,Border with wax seal at corners,Document craft
960,Border,Filigree border,Border with hand-drawn filigree ornament,Decorative craft
961,Shadow,Hand-drawn shadow,Shadow with irregular hand-drawn quality,Sketch quality
962,Shadow,Soft natural shadow,Shadow that mimics natural light softness,Natural lighting
963,Shadow,Hard direct shadow,Shadow with sharp edges like direct sunlight,Direct lighting
964,Shadow,Colored shadow,Shadow with subtle color tint from light source,Colored lighting
965,Shadow,Double shadow,Element with two shadows from different light sources,Complex lighting
966,Shadow,Long shadow,Extended shadow like late afternoon sun,Time of day
967,Shadow,Diffused shadow,Shadow with soft diffused edges,Overcast lighting
968,Shadow,Dappled shadow,Shadow with dappled light pattern,Tree canopy lighting
969,Shadow,Reflected shadow,Shadow with color reflected from nearby surfaces,Reflected light
970,Shadow,Cast shadow pattern,Shadow with pattern cast through an object,Projected pattern
971,Shadow,Water reflection shadow,Shadow reflected on water surface,Water reflection
972,Shadow,Candlelight shadow,Shadow with warm flickering candlelight quality,Candle lighting
973,Shadow,Firelight shadow,Shadow with dancing firelight quality,Fire lighting
974,Shadow,Moonlight shadow,Shadow with cool moonlight quality,Moon lighting
975,Shadow,Lamp shadow,Shadow with warm lamp quality,Artificial lighting
976,Shadow,Window shadow,Shadow with window frame pattern,Architectural lighting
977,Shadow,Blind shadow,Shadow with Venetian blind pattern,Architectural lighting
978,Shadow,Lace shadow,Shadow with lace pattern projected,Decorative lighting
979,Shadow,Foliage shadow,Shadow with leaf pattern projected,Natural lighting
980,Shadow,Cloud shadow,Shadow with soft cloud edge pattern,Weather lighting
981,Feedback,Hand-drawn checkmark,Confirmation checkmark drawn by hand,Sketch quality
982,Feedback,Stamp approval feedback,Feedback shown as a stamped approval,Official mark
983,Feedback,Red pen correction feedback,Feedback styled like a teacher's correction,Educational feedback
984,Feedback,Gold star feedback,Feedback shown as a gold star,Educational reward
985,Feedback,Thumbs up sketch,Feedback shown as a hand-drawn thumbs up,Personal approval
986,Feedback,Heart feedback,Feedback shown as a hand-drawn heart,Emotional response
987,Feedback,Nod animation,Feedback shown as a subtle nod animation,Human acknowledgment
988,Feedback,Wink feedback,Feedback shown as a subtle wink,Playful acknowledgment
989,Feedback,Smile feedback,Feedback shown as a hand-drawn smile,Friendly response
990,Feedback,High five feedback,Feedback shown as a high five gesture,Enthusiastic response
991,Feedback,Applause feedback,Feedback shown as hand-drawn applause,Celebratory response
992,Feedback,Confetti feedback,Feedback shown as hand-drawn conf burst,Celebration
993,Feedback,Bell ring feedback,Feedback shown as a bell ringing,Attention signal
994,Feedback,Flag raise feedback,Feedback shown as a flag being raised,Achievement signal
995,Feedback,Horn toot feedback,Feedback shown as a horn tooting,Celebratory signal
996,Feedback,Firework feedback,Feedback shown as a firework burst,Celebration
997,Feedback,Bloom feedback,Feedback shown as a flower blooming,Growth response
998,Feedback,Sunrise feedback,Feedback shown as a sunrise,Positive beginning
999,Feedback,Rainbow feedback,Feedback shown as a rainbow appearing,Natural beauty
1000,Feedback,Standing ovation feedback,Feedback shown as a standing ovation,Ultimate approval
