ID,Font Name,Google Fonts URL,Classification,Use Case,Mood/Personality,Why AI Avoids It,When To Use,Pairing Suggestion
361,Cabin Condensed,https://fonts.google.com/specimen/Cabin+Condensed,Sans Serif,Condensed humanist body,Condensed humanist clarity,Condensed style not AI default,Condensed sites,Merriweather
362,Cabin Sketch,https://fonts.google.com/specimen/Cabin+Sketch,Display,Sketch display headers,Sketch display character,Sketch style limits general use,Sketch sites,Open Sans
363,Caesar Dressing,https://fonts.google.com/specimen/Caesar+Dressing,Display,Roman display headers,Roman display character,Roman style not AI default,Roman sites,Open Sans
364,Cagliostro,https://fonts.google.com/specimen/Cagliostro,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
365,Cairo,https://fonts.google.com/specimen/Cairo,Sans Serif,Arabic geometric sans,Arabic geometric clarity,Cultural origin limits AI use,Arabic sites,Open Sans
366,Cairo Play,https://fonts.google.com/specimen/Cairo+Play,Sans Serif,Arabic playful sans,Arabic playful character,Cultural origin limits AI use,Arabic playful sites,Open Sans
367,Caladea,https://fonts.google.com/specimen/Caladea,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
368,Calistoga,https://fonts.google.com/specimen/Calistoga,Serif,Slab serif body,Slab serif warmth,Slab serif not AI default,Blog sites,Open Sans
369,Calligraffitti,https://fonts.google.com/specimen/Calligraffitti,Handwriting,Calligraphic handwriting body,Calligraphic handwriting character,Handwriting fonts rarely AI default,Calligraphic sites,Open Sans
370,Cambay,https://fonts.google.com/specimen/Cambay,Sans Serif,Devanagari sans body,Devanagari sans clarity,Cultural origin limits AI use,Devanagari sites,Open Sans
371,Cambo,https://fonts.google.com/specimen/Cambo,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
372,Candal,https://fonts.google.com/specimen/Candal,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
373,Cantarell,https://fonts.google.com/specimen/Cantarell,Sans Serif,GNOME ecosystem UI,GNOME system warmth,Linux association limits use,Linux desktop apps,Merriweather
374,Cantata One,https://fonts.google.com/specimen/Cantata+One,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
375,Cantora One,https://fonts.google.com/specimen/Cantora+One,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
376,Caprasimo,https://fonts.google.com/specimen/Caprasimo,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
377,Capriola,https://fonts.google.com/specimen/Capriola,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
378,Caramel,https://fonts.google.com/specimen/Caramel,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
379,Carattere,https://fonts.google.com/specimen/Carattere,Script,Italian script headers,Italian script character,Cultural origin limits AI use,Italian sites,Open Sans
380,Cardo,https://fonts.google.com/specimen/Cardo,Serif,Classical studies content,Scholarly tradition,Academic niche limits AI use,Classics departments,Gentium Plus
381,Carlito,https://fonts.google.com/specimen/Carlito,Sans Serif,Calibri alternative body,Calibri alternative clarity,Alternative status limits AI use,General sites,Merriweather
382,Carme,https://fonts.google.com/specimen/Carme,Sans Serif,Humanist sans body,Humanist sans warmth,Humanist style not AI default,Humanist sites,Merriweather
383,Carrois Gothic,https://fonts.google.com/specimen/Carrois+Gothic,Sans Serif,Gothic sans body,Gothic sans warmth,Gothic style not AI default,Gothic sites,Merriweather
384,Carrois Gothic SC,https://fonts.google.com/specimen/Carrois+Gothic+SC,Sans Serif,Gothic small caps sans,Gothic small caps character,Small caps style not AI default,Gothic sites,Open Sans
385,Carter One,https://fonts.google.com/specimen/Carter+One,Display,Western display headers,Western display character,Themed font limits general use,Western sites,Open Sans
386,Castoro,https://fonts.google.com/specimen/Castoro,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
387,Castoro Titling,https://fonts.google.com/specimen/Castoro+Titling,Serif,Transitional titling serif,Transitional titling character,Titling style not AI default,Titling sites,Open Sans
388,Catamaran,https://fonts.google.com/specimen/Catamaran,Sans Serif,Tamil sans body,Tamil sans clarity,Cultural origin limits AI use,Tamil sites,Open Sans
389,Caudex,https://fonts.google.com/specimen/Caudex,Serif,Greek serif body,Greek serif tradition,Cultural origin limits AI use,Greek sites,Open Sans
390,Caveat,https://fonts.google.com/specimen/Caveat,Handwriting,Marker handwriting body,Marker handwriting energy,Handwriting fonts rarely AI default,Personal sites,Open Sans
391,Caveat Brush,https://fonts.google.com/specimen/Caveat+Brush,Handwriting,Brush handwriting body,Brush handwriting energy,Handwriting fonts rarely AI default,Brush sites,Open Sans
392,Cedarville Cursive,https://fonts.google.com/specimen/Cedarville+Cursive,Handwriting,Cursive handwriting body,Cursive handwriting warmth,Handwriting fonts rarely AI default,Cursive sites,Open Sans
393,Ceviche One,https://fonts.google.com/specimen/Ceviche+One,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
394,Chakra Petch,https://fonts.google.com/specimen/Chakra+Petch,Sans Serif,Thai geometric sans,Thai geometric character,Cultural origin limits AI use,Thai geometric sites,Open Sans
395,Changa,https://fonts.google.com/specimen/Changa,Sans Serif,Arabic rounded sans,Arabic rounded character,Cultural origin limits AI use,Arabic rounded sites,Open Sans
396,Changa One,https://fonts.google.com/specimen/Changa+One,Display,Heavy display headers,Heavy display presence,Heavy style limits subtle use,Display sites,Open Sans
397,Chango,https://fonts.google.com/specimen/Chango,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
398,Charis SIL,https://fonts.google.com/specimen/Charis+SIL,Serif,Linguistic serif body,Linguistic serif clarity,Linguistic focus limits AI use,Linguistic sites,Open Sans
399,Charm,https://fonts.google.com/specimen/Charm,Handwriting,Thai handwriting body,Thai handwriting character,Cultural origin limits AI use,Thai handwriting sites,Open Sans
400,Charmonman,https://fonts.google.com/specimen/Charmonman,Handwriting,Thai formal handwriting,Thai formal handwriting character,Cultural origin limits AI use,Thai formal sites,Open Sans
401,Chathura,https://fonts.google.com/specimen/Chathura,Sans Serif,Sinhala sans body,Sinhala sans clarity,Cultural origin limits AI use,Sinhala sites,Open Sans
402,Chau Philomene One,https://fonts.google.com/specimen/Chau+Philomene+One,Sans Serif,Condensed sans body,Condensed sans clarity,Condensed style not AI default,Condensed sites,Merriweather
403,Chela One,https://fonts.google.com/specimen/Chela+One,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
404,Chelsea Market,https://fonts.google.com/specimen/Chelsea+Market,Display,Retro display headers,Retro display character,Retro style limits general use,Retro sites,Open Sans
405,Chenla,https://fonts.google.com/specimen/Chenla,Sans Serif,Khmer sans body,Khmer sans clarity,Cultural origin limits AI use,Khmer sites,Open Sans
406,Cherish,https://fonts.google.com/specimen/Cherish,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
407,Cherry Cream Soda,https://fonts.google.com/specimen/Cherry+Cream+Soda,Display,Retro soda display headers,Retro soda character,Themed font limits general use,Retro sites,Open Sans
408,Cherry Swash,https://fonts.google.com/specimen/Cherry+Swash,Display,Swash display headers,Swash display charm,Swash style limits general use,Swash sites,Open Sans
409,Chewy,https://fonts.google.com/specimen/Chewy,Display,Playful display headers,Playful display charm,Playful style limits formal use,Playful sites,Open Sans
410,Chicle,https://fonts.google.com/specimen/Chicle,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
411,Chilanka,https://fonts.google.com/specimen/Chilanka,Handwriting,Malayalam handwriting body,Malayalam handwriting character,Cultural origin limits AI use,Malayalam handwriting sites,Open Sans
412,Chivo,https://fonts.google.com/specimen/Chivo,Sans Serif,Mexican government sites,Civic authority,Regional use limits AI exposure,Latin American institutions,Chivo Mono
413,Chivo Mono,https://fonts.google.com/specimen/Chivo+Mono,Monospace,Mexican institutional code,Civic monospace authority,Regional origin limits AI use,Latin American institutions,Chivo
414,Chokokutai,https://fonts.google.com/specimen/Chokokutai,Display,Japanese display headers,Japanese display character,Cultural origin limits AI use,Japanese sites,Open Sans
415,Chonburi,https://fonts.google.com/specimen/Chonburi,Display,Thai display headers,Thai display character,Cultural origin limits AI use,Thai display sites,Open Sans
416,Cinzel,https://fonts.google.com/specimen/Cinzel,Serif,Roman inscription headers,Roman inscription authority,Roman style not AI default,Historical sites,Open Sans
417,Cinzel Decorative,https://fonts.google.com/specimen/Cinzel+Decorative,Display,Roman decorative headers,Roman decorative grandeur,Roman style not AI default,Luxury sites,Open Sans
418,Clear Sans,https://fonts.google.com/specimen/Clear+Sans,Sans Serif,Intel Clear UI,Intel UI clarity,Corporate association limits use,Intel-related sites,Open Sans
419,Clicker Script,https://fonts.google.com/specimen/Clicker+Script,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
420,Coda,https://fonts.google.com/specimen/Coda,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
421,Codystar,https://fonts.google.com/specimen/Codystar,Display,Dot-matrix display headers,Dot-matrix display character,Dot-matrix style limits general use,Dot-matrix sites,Open Sans
422,Coiny,https://fonts.google.com/specimen/Coiny,Display,Rounded display headers,Rounded display charm,Rounded style limits general use,Rounded sites,Open Sans
423,Combo,https://fonts.google.com/specimen/Combo,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
424,Comfortaa,https://fonts.google.com/specimen/Comfortaa,Sans Serif,Rounded geometric sans,Rounded geometric charm,Rounded style not AI default,Rounded sites,Merriweather
425,Comforter,https://fonts.google.com/specimen/Comforter,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
426,Comforter Brush,https://fonts.google.com/specimen/Comforter+Brush,Script,Brush script headers,Brush script energy,Script fonts rarely AI default,Brush sites,Open Sans
427,Comic Neue,https://fonts.google.com/specimen/Comic+Neue,Handwriting,Comic-inspired handwriting,Comic-inspired warmth,Comic association limits AI use,Comic sites,Open Sans
428,Coming Soon,https://fonts.google.com/specimen/Coming+Soon,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
429,Comme,https://fonts.google.com/specimen/Comme,Sans Serif,Fashion sans body,Fashion sans warmth,Fashion association limits use,Fashion sites,Merriweather
430,Commissioner,https://fonts.google.com/specimen/Commissioner,Sans Serif,European institution UI,Civic clarity,EU commission origin limits AI,Government sites,Mulish
431,Concert One,https://fonts.google.com/specimen/Concert+One,Display,Heavy display headers,Heavy display presence,Heavy style limits subtle use,Display sites,Open Sans
432,Condiment,https://fonts.google.com/specimen/Condiment,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
433,Content,https://fonts.google.com/specimen/Content,Sans Serif,Khmer sans body,Khmer sans clarity,Cultural origin limits AI use,Khmer sites,Open Sans
434,Contrail One,https://fonts.google.com/specimen/Contrail+One,Display,Aviation display headers,Aviation display character,Themed font limits general use,Aviation sites,Open Sans
435,Convergence,https://fonts.google.com/specimen/Convergence,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
436,Cookie,https://fonts.google.com/specimen/Cookie,Script,Casual script headers,Casual script warmth,Script fonts rarely AI default,Casual sites,Open Sans
437,Copse,https://fonts.google.com/specimen/Copse,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
438,Corben,https://fonts.google.com/specimen/Corben,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
439,Corinthia,https://fonts.google.com/specimen/Corinthia,Script,Elegant script headers,Elegant script sophistication,Script fonts rarely AI default,Luxury sites,Open Sans
440,Cormorant,https://fonts.google.com/specimen/Cormorant,Serif,Poetry publication headers,Literary elegance,High contrast not AI default,Poetry sites,Work Sans
441,Cormorant Garamond,https://fonts.google.com/specimen/Cormorant+Garamond,Serif,Elegant Garamond body,Elegant Garamond sophistication,High contrast not AI default,Luxury sites,Work Sans
442,Cormorant Infant,https://fonts.google.com/specimen/Cormorant+Infant,Serif,Infant Garamond body,Infant Garamond charm,Infant style limits general use,Infant sites,Open Sans
443,Cormorant SC,https://fonts.google.com/specimen/Cormorant+SC,Serif,Small caps Garamond,Small caps Garamond elegance,Small caps style not AI default,Small caps sites,Open Sans
444,Cormorant Unicase,https://fonts.google.com/specimen/Cormorant+Unicase,Serif,Unicase Garamond body,Unicase Garamond character,Unicase style not AI default,Unicase sites,Open Sans
445,Cormorant Upright,https://fonts.google.com/specimen/Cormorant+Upright,Serif,Upright Garamond body,Upright Garamond character,Upright style not AI default,Upright sites,Open Sans
446,Courgette,https://fonts.google.com/specimen/Courgette,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
447,Courier Prime,https://fonts.google.com/specimen/Courier+Prime,Monospace,Screenplay monospace,Screenplay monospace clarity,Screenplay association limits use,Screenplay sites,Open Sans
448,Cousine,https://fonts.google.com/specimen/Cousine,Monospace,Courier alternative mono,Courier alternative clarity,Alternative status limits AI use,General sites,Arimo
449,Coustard,https://fonts.google.com/specimen/Coustard,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
450,Covered By Your Grace,https://fonts.google.com/specimen/Covered+By+Your+Grace,Handwriting,Graceful handwriting body,Graceful handwriting warmth,Handwriting fonts rarely AI default,Graceful sites,Open Sans
451,Crafty Girls,https://fonts.google.com/specimen/Crafty+Girls,Handwriting,Crafty handwriting body,Crafty handwriting warmth,Handwriting fonts rarely AI default,Crafty sites,Open Sans
452,Creepster,https://fonts.google.com/specimen/Creepster,Display,Horror display headers,Horror display character,Themed font limits general use,Horror sites,Open Sans
453,Crimson Pro,https://fonts.google.com/specimen/Crimson+Pro,Serif,Professional editorial content,Professional serif elegance,Professional niche limits AI use,Professional blogs,Source Sans 3
454,Crimson Text,https://fonts.google.com/specimen/Crimson+Text,Serif,Academic body text,Academic serif elegance,Academic niche limits AI use,Academic sites,Open Sans
455,Croissant One,https://fonts.google.com/specimen/Croissant+One,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
456,Crushed,https://fonts.google.com/specimen/Crushed,Display,Distressed display headers,Distressed display character,Distressed style limits general use,Distressed sites,Open Sans
457,Cuprum,https://fonts.google.com/specimen/Cuprum,Sans Serif,Russian sans body,Russian sans character,Cultural origin limits AI use,Russian sites,Open Sans
458,Cute Font,https://fonts.google.com/specimen/Cute+Font,Display,Korean cute display,Korean cute character,Cultural origin limits AI use,Korean cute sites,Open Sans
459,Cutive,https://fonts.google.com/specimen/Cutive,Serif,Typewriter serif body,Typewriter serif character,Typewriter style not AI default,Typewriter sites,Open Sans
460,Cutive Mono,https://fonts.google.com/specimen/Cutive+Mono,Monospace,Typewriter monospace,Typewriter monospace character,Typewriter style not AI default,Typewriter sites,Open Sans
461,Dai Banna SIL,https://fonts.google.com/specimen/Dai+Banna+SIL,Serif,Tai Le serif body,Tai Le serif tradition,Cultural origin limits AI use,Tai Le sites,Open Sans
462,Damion,https://fonts.google.com/specimen/Damion,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
463,Dancing Script,https://fonts.google.com/specimen/Dancing+Script,Script,Casual script headers,Playful script energy,Script fonts rarely AI default,Personal blogs,Open Sans
464,Dangrek,https://fonts.google.com/specimen/Dangrek,Display,Thai display headers,Thai display character,Cultural origin limits AI use,Thai display sites,Open Sans
465,Darker Grotesque,https://fonts.google.com/specimen/Darker+Grotesque,Sans Serif,Dark grotesque body,Dark grotesque character,Dark style limits general use,Dark sites,Merriweather
466,David Libre,https://fonts.google.com/specimen/David+Libre,Serif,Hebrew serif body,Hebrew serif warmth,Cultural origin limits AI use,Hebrew editorial sites,Open Sans
467,Dawning of a New Day,https://fonts.google.com/specimen/Dawning+of+a+New+Day,Handwriting,Optimistic handwriting body,Optimistic handwriting warmth,Handwriting fonts rarely AI default,Optimistic sites,Open Sans
468,Days One,https://fonts.google.com/specimen/Days+One,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
469,Dekko,https://fonts.google.com/specimen/Dekko,Handwriting,Devanagari handwriting body,Devanagari handwriting character,Cultural origin limits AI use,Devanagari handwriting sites,Open Sans
470,Dela Gothic One,https://fonts.google.com/specimen/Dela+Gothic+One,Sans Serif,Japanese bold gothic,Japanese bold character,Cultural origin limits AI use,Japanese bold sites,Open Sans
471,Delicious Handrawn,https://fonts.google.com/specimen/Delicious+Handrawn,Handwriting,Handrawn body text,Handrawn warmth,Handwriting fonts rarely AI default,Handrawn sites,Open Sans
472,Delius,https://fonts.google.com/specimen/Delius,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
473,Delius Swash Caps,https://fonts.google.com/specimen/Delius+Swash+Caps,Handwriting,Swash handwriting body,Swash handwriting character,Swash style limits general use,Swash sites,Open Sans
474,Delius Unicase,https://fonts.google.com/specimen/Delius+Unicase,Handwriting,Unicase handwriting body,Unicase handwriting character,Unicase style not AI default,Unicase sites,Open Sans
475,Della Respira,https://fonts.google.com/specimen/Della+Respira,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
476,Denk One,https://fonts.google.com/specimen/Denk+One,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
477,Devonshire,https://fonts.google.com/specimen/Devonshire,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
478,Dhurjati,https://fonts.google.com/specimen/Dhurjati,Sans Serif,Telugu sans body,Telugu sans clarity,Cultural origin limits AI use,Telugu sites,Open Sans
479,Didact Gothic,https://fonts.google.com/specimen/Didact+Gothic,Sans Serif,Gothic sans body,Gothic sans warmth,Gothic style not AI default,Gothic sites,Merriweather
480,Diphylleia,https://fonts.google.com/specimen/Diphylleia,Serif,Japanese serif body,Japanese serif tradition,Cultural origin limits AI use,Japanese editorial sites,Open Sans
481,Diplomata,https://fonts.google.com/specimen/Diplomata,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
482,Diplomata SC,https://fonts.google.com/specimen/Diplomata+SC,Display,Small caps decorative display,Small caps decorative character,Small caps style not AI default,Small caps sites,Open Sans
483,DM Mono,https://fonts.google.com/specimen/DM+Mono,Monospace,Modern code display,Contemporary monospace clarity,DM family less known than others,Dev tools,DM Sans
484,DM Sans,https://fonts.google.com/specimen/DM+Sans,Sans Serif,Modern UI body text,Geometric UI clarity,Common but still quality choice,App interfaces,DM Serif Text
485,DM Serif Display,https://fonts.google.com/specimen/DM+Serif+Display,Serif,Display serif headers,Elegant display serif,Display serif not AI default,Luxury brands,DM Sans
486,DM Serif Text,https://fonts.google.com/specimen/DM+Serif+Text,Serif,Body text serif,Readable serif warmth,DM family less known than others,Editorial sites,DM Sans
487,Do Hyeon,https://fonts.google.com/specimen/Do+Hyeon,Sans Serif,Korean sans body,Korean sans clarity,Cultural origin limits AI use,Korean sites,Open Sans
488,Dokdo,https://fonts.google.com/specimen/Dokdo,Display,Korean display headers,Korean display character,Cultural origin limits AI use,Korean display sites,Open Sans
489,Domine,https://fonts.google.com/specimen/Domine,Serif,Slab serif body text,Slab serif readability,Slab serif not AI default,Blog sites,Open Sans
490,Donegal One,https://fonts.google.com/specimen/Donegal+One,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
491,Dongle,https://fonts.google.com/specimen/Dongle,Sans Serif,Korean light sans,Korean light character,Cultural origin limits AI use,Korean light sites,Open Sans
492,Doppio One,https://fonts.google.com/specimen/Doppio+One,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
493,Dorsa,https://fonts.google.com/specimen/Dorsa,Sans Serif,Condensed sans body,Condensed sans clarity,Condensed style not AI default,Condensed sites,Merriweather
494,Dosis,https://fonts.google.com/specimen/Dosis,Sans Serif,Rounded geometric sans,Rounded geometric charm,Rounded style not AI default,Rounded sites,Merriweather
495,Doto,https://fonts.google.com/specimen/Doto,Sans Serif,Rounded sans body,Rounded sans warmth,Rounded style not AI default,Rounded sites,Merriweather
496,Dr Sugiyama,https://fonts.google.com/specimen/Dr+Sugiyama,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
497,Duru Sans,https://fonts.google.com/specimen/Duru+Sans,Sans Serif,Humanist sans body,Humanist sans warmth,Humanist style not AI default,Humanist sites,Merriweather
498,Dynalight,https://fonts.google.com/specimen/Dynalight,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
499,Eagle Lake,https://fonts.google.com/specimen/Eagle+Lake,Handwriting,Lake-inspired handwriting body,Lake-inspired handwriting warmth,Handwriting fonts rarely AI default,Lake sites,Open Sans
500,East Sea Dokdo,https://fonts.google.com/specimen/East+Sea+Dokdo,Handwriting,Korean handwriting body,Korean handwriting character,Cultural origin limits AI use,Korean handwriting sites,Open Sans
501,Eater,https://fonts.google.com/specimen/Eater,Display,Horror display headers,Horror display character,Themed font limits general use,Horror sites,Open Sans
502,Economica,https://fonts.google.com/specimen/Economica,Sans Serif,Condensed sans body,Condensed sans clarity,Condensed style not AI default,Condensed sites,Merriweather
503,Eczar,https://fonts.google.com/specimen/Eczar,Serif,Indian brand identity,Devanagari-influenced serif,Cultural origin limits AI use,South Asian brands,Rajdhani
504,Edo,https://fonts.google.com/specimen/Edo,Display,Japanese Edo display headers,Japanese Edo character,Cultural origin limits AI use,Japanese Edo sites,Open Sans
505,Edun,https://fonts.google.com/specimen/Edun,Sans Serif,Minimalist sans body,Minimalist sans clarity,Minimalist style limits expressive use,Minimal sites,Merriweather
506,El Messiri,https://fonts.google.com/specimen/El+Messiri,Sans Serif,Arabic sans body,Arabic sans clarity,Cultural origin limits AI use,Arabic sites,Open Sans
507,Electrolize,https://fonts.google.com/specimen/Electrolize,Sans Serif,Electronic sans body,Electronic sans character,Electronic style limits general use,Electronic sites,Merriweather
508,Ellora,https://fonts.google.com/specimen/Ellora,Serif,Devanagari serif body,Devanagari serif tradition,Cultural origin limits AI use,Devanagari editorial sites,Open Sans
509,Elsie,https://fonts.google.com/specimen/Elsie,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
510,Elsie Swash Caps,https://fonts.google.com/specimen/Elsie+Swash+Caps,Display,Swash decorative display,Swash decorative character,Swash style limits general use,Swash sites,Open Sans
511,Emblema One,https://fonts.google.com/specimen/Emblema+One,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
512,Emilys Candy,https://fonts.google.com/specimen/Emilys+Candy,Display,Playful display headers,Playful display charm,Playful style limits formal use,Playful sites,Open Sans
513,Encode Sans,https://fonts.google.com/specimen/Encode+Sans,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
514,Encode Sans Condensed,https://fonts.google.com/specimen/Encode+Sans+Condensed,Sans Serif,Condensed geometric body,Condensed geometric clarity,Condensed style not AI default,Condensed sites,Merriweather
515,Encode Sans Expanded,https://fonts.google.com/specimen/Encode+Sans+Expanded,Sans Serif,Expanded geometric body,Expanded geometric character,Expanded style not AI default,Expanded sites,Merriweather
516,Encode Sans SC,https://fonts.google.com/specimen/Encode+Sans+SC,Sans Serif,Small caps geometric sans,Small caps geometric character,Small caps style not AI default,Small caps sites,Open Sans
517,Encode Sans Semi Condensed,https://fonts.google.com/specimen/Encode+Sans+Semi+Condensed,Sans Serif,Semi-condensed geometric body,Semi-condensed geometric clarity,Semi-condensed style not AI default,Semi-condensed sites,Merriweather
518,Encode Sans Semi Expanded,https://fonts.google.com/specimen/Encode+Sans+Semi+Expanded,Sans Serif,Semi-expanded geometric body,Semi-expanded geometric character,Semi-expanded style not AI default,Semi-expanded sites,Merriweather
519,Engagement,https://fonts.google.com/specimen/Engagement,Script,Romantic script headers,Romantic script warmth,Romantic style limits general use,Romantic sites,Open Sans
520,Englebert,https://fonts.google.com/specimen/Englebert,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
521,Enriqueta,https://fonts.google.com/specimen/Enriqueta,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
522,Ephesis,https://fonts.google.com/specimen/Ephesis,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
523,Epilogue,https://fonts.google.com/specimen/Epilogue,Sans Serif,Modern corporate identity,Geometric warmth,Overlooked for Inter/Poppins,Tech company sites,Source Serif 4
524,Erica One,https://fonts.google.com/specimen/Erica+One,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
525,Esteban,https://fonts.google.com/specimen/Esteban,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
526,Estonia,https://fonts.google.com/specimen/Estonia,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
527,Euphoria Script,https://fonts.google.com/specimen/Euphoria+Script,Script,Euphoric script headers,Euphoric script energy,Script fonts rarely AI default,Euphoric sites,Open Sans
528,Ewert,https://fonts.google.com/specimen/Ewert,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
529,Exo,https://fonts.google.com/specimen/Exo,Sans Serif,Futuristic sans body,Futuristic sans character,Futuristic style limits general use,Futuristic sites,Merriweather
530,Exo 2,https://fonts.google.com/specimen/Exo+2,Sans Serif,Futuristic sans body v2,Futuristic sans character v2,Futuristic style limits general use,Futuristic sites,Merriweather
531,Expletus Sans,https://fonts.google.com/specimen/Expletus+Sans,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
532,Explora,https://fonts.google.com/specimen/Explora,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
533,Fahkwang,https://fonts.google.com/specimen/Fahkwang,Sans Serif,Thai sans body,Thai sans clarity,Cultural origin limits AI use,Thai sites,Open Sans
534,Familjen Grotesk,https://fonts.google.com/specimen/Familjen+Grotesk,Sans Serif,Family brand identity,Warm grotesque character,Newer font not widely known,Family-oriented brands,Newsreader
535,Fanwood Text,https://fonts.google.com/specimen/Fanwood+Text,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
536,Farro,https://fonts.google.com/specimen/Farro,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
537,Farsan,https://fonts.google.com/specimen/Farsan,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
538,Fascinate,https://fonts.google.com/specimen/Fascinate,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
539,Fascinate Inline,https://fonts.google.com/specimen/Fascinate+Inline,Display,Inline decorative display,Inline decorative character,Inline style limits general use,Inline sites,Open Sans
540,Faster One,https://fonts.google.com/specimen/Faster+One,Display,Racing display headers,Racing display character,Themed font limits general use,Racing sites,Open Sans
541,Fasthand,https://fonts.google.com/specimen/Fasthand,Sans Serif,Khmer sans body,Khmer sans clarity,Cultural origin limits AI use,Khmer sites,Open Sans
542,Fauna One,https://fonts.google.com/specimen/Fauna+One,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
543,Faustina,https://fonts.google.com/specimen/Faustina,Serif,Contemporary serif body,Contemporary serif warmth,Contemporary style not AI default,Modern blogs,Open Sans
